JobID,Account Code,Account Name,Site Code,Site Name,PostCode,Job Type,Status,Visit Date,Portal Status,Allocated Engineer,Parts Due,Total Job Value,Equipment
57211,TLCG005,TLC Group Ltd / Camberley Manor Care Home,TLCG00501,TLC Group Ltd / Camberley Manor Care Home,GU16 6SJ,Field Service,230,21/01/2026,Pending Engineer Visit,Adrian Chioveanu,01/01/2026,0,Field Service Various machines to be serviced (as listed)
57210,TLCG003,TLC Group Ltd / Cambridge Manor Care Home,TLCG00301,TLC Group Ltd / Cambridge Manor Care Home,CB4 1UZ,Field Service,230,29/01/2026,Pending Engineer Visit,Adrian Chioveanu,01/01/2026,0,Field Service Various machines to be serviced (as listed)
57209,TLCG002,TLC Group Ltd / Candle Wood House Care Home,TLCG00201,TLC Group Ltd / Candlewood House Care Home,NW2 2TD,Field Service,230,30/01/2026,Pending Engineer Visit,Adrian Chioveanu,01/01/2026,0,Field Service Various machines to be serviced (as listed)
57208,TLCG006,TLC Group Ltd / Cherry Hinton Care Home,TLCG00601,TLC Group Ltd / Cherry Hinton Care Home,CB1 8DB,Field Service,230,29/01/2026,Pending Engineer Visit,Adrian Chioveanu,01/01/2026,0,Field Service Various machines to be serviced (as listed)
57207,TLCG001,TLC Group Ltd / Cooperscroft Care Home,TLCG00101,TLC Group Ltd / Cooperscroft Care Home,EN6 4AE,Field Service,230,28/01/2026,Pending Engineer Visit,Adrian Chioveanu,01/01/2026,0,Field Service Various machines to be serviced (as listed)
57206,TLCG007,TLC Group Ltd / Cuffley Manor Care Home,TLCG00701,TLC Group Ltd/ Cuffley Manor Care Home,EN6 4AA,Field Service,230,28/01/2026,Pending Engineer Visit,Adrian Chioveanu,01/01/2026,0,Field Service Various machines to be serviced (as listed)
57205,TLCG008,TLC Group LTD / Kailash Manor Care Home,TLCG00801,TLC Group Ltd/ Kailash Manor Care Home,HA5 4HE,Field Service,230,30/01/2026,Pending Engineer Visit,Adrian Chioveanu,01/01/2026,0,Field Service Various machines to be serviced (as listed)
57204,5010111,TLC Group Ltd / Support Office,501011102,TLC Group Ltd / Carlton Court Care Home,EN5 2SQ,Field Service,230,28/01/2026,Pending Engineer Visit,Adrian Chioveanu,11/01/2026,45,Field Service Various machines to be serviced (as listed); i-team i-mop XL Pro
57204,5010111,TLC Group Ltd / Support Office,501011102,TLC Group Ltd / Carlton Court Care Home,EN5 2SQ,Field Service,230,08/01/2026,Pending Engineer Visit,Chris Thomas,11/01/2026,45,Field Service Various machines to be serviced (as listed); i-team i-mop XL Pro
57202,5008896,Axminster Services Ltd +,500889640,Axminster / Park Hyatt London River Thames,SW8 5PH,Callback,230,10/01/2026,Pending Engineer Visit,Shane Wingfield,06/01/2026,14.13,NILFISK  fm 400
57201,5001195,Jumeirah Carlton Tower Hotel,500119503,Carlton Towers Jumeirah / Receiving Bay,SW1X 9PY,Breakdown B Rate,600,31/12/2025,Requires Invoicing,Z - Admin,06/01/2026,173.49,Nilfisk ES300
57193,BART006,Barts Health NHS Trust / Whipps Cross Hospital,BART00601,Whipps Cross Hospital (WXH),E11 1NR,Arranged Visit,250,19/01/2026,Pending Engineer Visit,Ray Oram,,0,
57192,5010554,DoubleTree Hilton Hotel Milton Keynes +,501055402,DoubleTree Hilton Hotel Milton Keynes*,MK1 1ST,Potential Warranty B Rate 20% disc customer,575,05/01/2026,Attended - In Processing,Ray Oram,05/01/2026,141,TASKI PROCARPET 45
57191,BART004,Barts Health NHS Trust / St Bartholomew's Hospital (SBH),BART00401,St Bartholomew's Hospital (SBH),EC1A 7BE,Arranged Visit,400,06/02/2026,Awaiting Parts for Repair,Ray Oram,05/01/2026,236.26,Matrix SDV8
57189,BUTT003,Best Effort Ventures Limited / Page 8 Hotels,BUTT003,Best Effort Ventures Limited / Page 8 Hotels,WC2N 4JH,Potential Warranty B Rate customer,575,14/01/2026,Attended - In Processing,Adrian Chioveanu,05/01/2026,188,Viper CEX410
57186,BART005,Barts Health NHS Trust / The Royal London Hospital,BART00501,The Royal London Hospital (RLH)-Domestic Services,E1 1FR,Arranged Visit,400,21/01/2026,Awaiting Parts for Repair,Ray Oram,07/01/2026,901.44,i-team i-mop XXL Pro; Monthly Service Visit One
57186,BART005,Barts Health NHS Trust / The Royal London Hospital,BART00501,The Royal London Hospital (RLH)-Domestic Services,E1 1FR,Arranged Visit,400,21/01/2026,Awaiting Parts for Repair,Chris Thomas,07/01/2026,901.44,i-team i-mop XXL Pro; Monthly Service Visit One
57185,BART002,Barts Health NHS Trust / Mile End Hospital-Supp 2678,BART00201,Mile End Hospital-The Loading Bay,E1 4DG,Arranged Visit,250,23/01/2026,Pending Engineer Visit,Ray Oram,28/01/2026,65.09,MONTHLY SERVICE VARIOUS MACHINES TO BE SERVICE; i-team i-mop XXL
57185,BART002,Barts Health NHS Trust / Mile End Hospital-Supp 2678,BART00201,Mile End Hospital-The Loading Bay,E1 4DG,Arranged Visit,250,06/01/2026,Pending Engineer Visit,Chris Thomas,28/01/2026,65.09,MONTHLY SERVICE VARIOUS MACHINES TO BE SERVICE; i-team i-mop XXL
57184,BART003,Barts Health NHS Trust / Newham University Hospital,BART00301,Newham University Hospital-Receipt & Distribution,E13 8SL,Arranged Visit,250,22/01/2026,Pending Engineer Visit,Ray Oram,20/01/2026,0,MONTHLY SERVICE VARIOUS MACHINES TO BE SERVICE
57184,BART003,Barts Health NHS Trust / Newham University Hospital,BART00301,Newham University Hospital-Receipt & Distribution,E13 8SL,Arranged Visit,250,22/01/2026,Pending Engineer Visit,Chris Thomas,20/01/2026,0,MONTHLY SERVICE VARIOUS MACHINES TO BE SERVICE
57183,BART005,Barts Health NHS Trust / The Royal London Hospital,BART00501,The Royal London Hospital (RLH)-Domestic Services,E1 1FR,Arranged Visit,600,07/01/2026,Requires Invoicing,Ray Oram,21/01/2026,1071.09,i-team i-mop XL; Z - IMOP IMOP XL; TASKI SWINGO 455b; i-team i-mop XXL Pro; i-team i-mop Lite; i-team i-mop Lite; i-team i-mop XXL Pro; i-team i-mop XXL Pro; i-team i-mop XXL Pro; i-team i-mop XXL; i-team i-mop XXL; i-team i-mop XXL; Monthly Service Visit Two
57183,BART005,Barts Health NHS Trust / The Royal London Hospital,BART00501,The Royal London Hospital (RLH)-Domestic Services,E1 1FR,Arranged Visit,600,07/01/2026,Requires Invoicing,Chris Thomas,21/01/2026,1071.09,i-team i-mop XL; Z - IMOP IMOP XL; TASKI SWINGO 455b; i-team i-mop XXL Pro; i-team i-mop Lite; i-team i-mop Lite; i-team i-mop XXL Pro; i-team i-mop XXL Pro; i-team i-mop XXL Pro; i-team i-mop XXL; i-team i-mop XXL; i-team i-mop XXL; Monthly Service Visit Two
57176,CLEA004,CleanEvent Services Ltd,CLEA00403,Cleanevent Service Ltd / TSG Elite Training Ground,TW5 9PQ,Workshop Repair,400,13/01/2026,Awaiting Parts for Repair,Luke Langlands,05/01/2026,253.26,FIMAP Orbitizer; FIMAP Orbitizer
57174,NECS001,NECS (UK) Ltd,NECS00101,Eurofins Forensics,TW14 0LR,Workshop Collection & Repair,575,02/01/2026,Attended - In Processing,Luke Langlands,,231.19,Numatic RSB 150/1.NX
57174,NECS001,NECS (UK) Ltd,NECS00101,Eurofins Forensics,TW14 0LR,Workshop Collection & Repair,575,14/01/2026,Attended - In Processing,Luke Langlands,,231.19,Numatic RSB 150/1.NX
57173,PELL001,Peninsula London  LP,PELL00101,Peninsula London LP / Housekeeping,SW1X 7HJ,Workshop Repair,500,15/01/2026,Attended,Luke Langlands,02/01/2026,481.95,NIFISK mc2c; NIFISK mc2c
57172,ONPO001,On Pointe Dance Academy,ONPO001,On Pointe Dance Academy,LU5 4GP,Hire Breakdown FOC,550,29/12/2025,Attended - Further Work Needed,Ciaran McRae,30/12/2025,0,i-team i-mop XL Pro
57169,5009184,West Suffolk NHS Foundation Trust,500918402,West Suffolk NHS Foundation Trust / West Suffolk Hospital - Housekeeping,IP33 2QZ,Callback,230,20/01/2026,Pending Engineer Visit,Ray Oram,24/12/2025,585.26,VIPER AS4325B
57158,5009440,ACT Clean / Head Office,500944071,ACT Clean / Ned Hotel-ACT Night Cleaners,EC2R 8AJ,Hire Breakdown,575,23/12/2025,Attended - In Processing,Peter Hunte,,80,Viper AS430
57151,5009900,Marriott Grosvenor House  Park Lane +,500990003,Marriott Grosvenor House,W1K 7TN,Breakdown B Rate,575,15/01/2026,Attended - In Processing,Chris Thomas,22/12/2025,263.94,Viper CEX410
57149,5001152,Greenwich Leisure Ltd,500115208,Greenwich Leisure Ltd / Barnet Copthall Leisure Centre,NW4 1PX,Breakdown B Rate,600,05/01/2026,Requires Invoicing,Chris Thomas,22/12/2025,188,Dolphin Wave 100
57148,CTVO001,CTV Outside Broadcasts Ltd,CTVO001,CTV Outside Broadcasts Ltd,HP12 3QL,Workshop Repair,400,05/01/2026,Awaiting Parts for Repair,Luke Langlands,,92.72,Karcher HDS745M Eco; Karcher HDS745M Eco
57135,WHIT004,St James Group Ltd,WHIT00401,White City Living/ Belvedere Row Appt / Conceirge Dept,W12 7RQ,Callback FOC,400,09/01/2026,Awaiting Parts for Repair,Shane Wingfield,19/12/2025,0,Nilfisk CS7010
57130,BART005,Barts Health NHS Trust / The Royal London Hospital,BART00501,The Royal London Hospital (RLH)-Domestic Services,E1 1FR,Callback,400,07/01/2026,Awaiting Parts for Repair,Ray Oram,19/12/2025,1653.72,i-team i-mop XL; i-team i-mop XL; Z - IMOP IMOP XL
57124,BART005,Barts Health NHS Trust / The Royal London Hospital,BART00501,The Royal London Hospital (RLH)-Domestic Services,E1 1FR,Arranged Visit,230,21/01/2026,Pending Engineer Visit,Ray Oram,19/12/2025,0,Taski Swingo 2100
57121,WING001,W.Wing Yip (london) ltd,WING001,W.Wing Yip (london) ltd,NW2 6LN,Breakdown B Rate,575,15/01/2026,Attended - In Processing,Adrian Chioveanu,19/12/2025,269.36,KARCHER b90r
57114,5009184,West Suffolk NHS Foundation Trust,500918402,West Suffolk NHS Foundation Trust / West Suffolk Hospital - Housekeeping,IP33 2QZ,Workshop Repair,400,09/01/2026,Awaiting Parts for Repair,Luke Langlands,18/12/2025,109.25,MATRIX SO8; MATRIX SO8
57107,BERK002,Tetlow Fifty-Three Limited / Tetlow Fifty-Three Limited C/O,BERK00201,Sandringham house,SE1 2QX,Field Service,600,06/01/2026,Requires Invoicing,Shane Wingfield,01/01/2026,56.4,"HAKOMATIC power boss combi 400; Nilfisk SC500; Motorscrubber MSJET; Viper CEX410; SCH PSP70 - Garden Push Sprayer; ePowerTrucks Tractor Golf Cart; Field Service Various machines to be serviced (as listed); i-team i-mop XL Pro; i-team i-scrub 21B; Viper DR1500H; RX Pressure Washer; NUMATIC   NRV240-11 ; NUMATIC
 nrv240.11"
57106,FAIR002,"Grove WP Ltd, t/a The Fairmont Windsor Park",FAIR00202,Fairmont Windsor,TW20 0XN,Arranged Visit,575,22/12/2025,Attended - In Processing,Peter Hunte,01/12/2025,0,Nilfisk SC500; i-team i-mop XXL; Monthly Service 6 machines to be serviced; Z -I mop xl; i-team i-mop XL Pro
57099,MONI001,Monicas Cleaning Services Ltd,MONI001,Monicas Cleaning Services Ltd,WD24 7XA,Workshop Repair,400,17/12/2025,Awaiting Parts for Repair,Luke Langlands,,92.22,PROCHEM STEAMPRO
57094,WHIT004,St James Group Ltd,WHIT00401,White City Living/ Belvedere Row Appt / Conceirge Dept,W12 7RQ,Arranged Visit,230,28/01/2026,Pending Engineer Visit,Shane Wingfield,26/01/2026,0,Monthly Service Maintenance Agreement - Gold
57093,WHIT004,St James Group Ltd,WHIT00401,White City Living/ Belvedere Row Appt / Conceirge Dept,W12 7RQ,Arranged Visit,230,21/01/2026,Pending Engineer Visit,Shane Wingfield,19/01/2026,0,Monthly Service Maintenance Agreement - Gold
57092,5009471,Dorchester Hotel The,500947102,Dorchester Hotel The,W1K 1QA,Arranged Visit,250,19/01/2026,Pending Engineer Visit,Chris Thomas,01/01/2026,0,Field Service Up to 40 machines per visit
57091,5010621,One Hyde Park +,501062101,One Hyde Park - Goods Receiving,SW1X 7LJ,Arranged Visit,230,28/01/2026,Pending Engineer Visit,Shane Wingfield,19/01/2026,0,MONTHLY SERVICE VARIOUS MACHINES TO BE SERVICE
57090,RIDG002,Ridge Crest Cleaning LTD,RIDG00233,Ridge Crest Cleaning LTD / Orchard Park High School,CR0 7NJ,Workshop Repair,400,17/12/2025,Awaiting Parts for Repair,Luke Langlands,28/01/2026,236.44,ICE 120 NBT
57087,BART006,Barts Health NHS Trust / Whipps Cross Hospital,BART00601,Whipps Cross Hospital (WXH),E11 1NR,Arranged Visit,230,20/12/2025,Pending Engineer Visit,Ray Oram,17/12/2025,41.04,Ivac CO6
57082,GOLD003,Goldsmith University London - AP(Finance) - Supp. 239369,GOLD003,Goldsmith University London - AP(Finance) - Supp. 239369,SE14 6NW,Callback,230,26/01/2026,Pending Engineer Visit,Chris Thomas,17/12/2025,192.17,Viper HS350; KARCHER NT 70/3
